"Year","Strata","Report_Group","grpID","Mean","SD","95CIL","95CIU"
2004,1,"Total Summer",2,0.4322,0.0819,0.279,0.5984
2004,1,"Lower Summer",4,0.3783,0.0938,0.2139,0.5763
2004,1,"Tanana Summer",8,0.0539,0.0642,0,0.2071
2004,1,"Total Fall",9,0.5677,0.0819,0.4015,0.7209
2004,1,"Tanana Fall",10,0.0192,0.0335,0,0.1181
2004,1,"Border US",11,0.3473,0.1018,0.1542,0.5482
2004,1,"Border CA",12,0.171,0.0666,0.0547,0.3162
2004,1,"Porcupine CA",13,0.138,0.0597,0.0219,0.2616
2004,1,"Mainstem CA",14,0.0329,0.0584,0,0.2011
2004,1,"Upper Canada",1,0.03,0.025,0,0.0916
2004,1,"White UC",3,0.0258,0.0212,0,0.077
2004,1,"Teslin UC",6,0.0042,0.0132,0,0.0466
2004,1,"Fall US",15,0.3666,0.103,0.171,0.5686
2004,1,"Mainstem+Upper CA",16,0.063,0.063,0,0.234
2004,1,"Border US+Canada",17,0.5484,0.0819,0.3833,0.7039
2004,1,"Total USA",18,0.7989,0.0685,0.6511,0.9194
2004,1,"Total Canada",19,0.201,0.0685,0.0805,0.3488
2004,2,"Total Summer",2,0.0855,0.0844,0,0.2925
2004,2,"Lower Summer",4,0.08,0.0845,0,0.2884
2004,2,"Tanana Summer",8,0.0054,0.0142,0,0.0497
2004,2,"Total Fall",9,0.9144,0.0844,0.7074,0.9999
2004,2,"Tanana Fall",10,0.2037,0.0704,0.0605,0.3422
2004,2,"Border US",11,0.3402,0.1122,0.1377,0.5758
2004,2,"Border CA",12,0.2353,0.1072,0,0.4492
2004,2,"Porcupine CA",13,0.1323,0.1016,0,0.3365
2004,2,"Mainstem CA",14,0.103,0.118,0,0.3654
2004,2,"Upper Canada",1,0.1351,0.0394,0.0658,0.2198
2004,2,"White UC",3,0.1307,0.0376,0.0637,0.2108
2004,2,"Teslin UC",6,0.0043,0.0123,0,0.044
2004,2,"Fall US",15,0.544,0.119,0.3087,0.7751
2004,2,"Mainstem+Upper CA",16,0.2381,0.1219,0.0783,0.5058
2004,2,"Border US+Canada",17,0.7107,0.0843,0.5289,0.8574
2004,2,"Total USA",18,0.6295,0.1088,0.4167,0.8544
2004,2,"Total Canada",19,0.3704,0.1088,0.1455,0.5832
2004,3,"Total Summer",2,0.1063,0.0903,0.0007,0.3249
2004,3,"Lower Summer",4,0.101,0.0909,0,0.3219
2004,3,"Tanana Summer",8,0.0052,0.0135,0,0.0478
2004,3,"Total Fall",9,0.8936,0.0903,0.675,0.9992
2004,3,"Tanana Fall",10,0.3116,0.0662,0.1854,0.445
2004,3,"Border US",11,0.2245,0.1276,0.0005,0.4935
2004,3,"Border CA",12,0.2558,0.1028,0.0041,0.4412
2004,3,"Porcupine CA",13,0.0104,0.0298,0,0.1095
2004,3,"Mainstem CA",14,0.2453,0.1058,0,0.434
2004,3,"Upper Canada",1,0.1016,0.0354,0.0426,0.1812
2004,3,"White UC",3,0.0959,0.0316,0.0404,0.1637
2004,3,"Teslin UC",6,0.0056,0.0166,0,0.0613
2004,3,"Fall US",15,0.5361,0.1385,0.2667,0.8153
2004,3,"Mainstem+Upper CA",16,0.347,0.1081,0.1055,0.5414
2004,3,"Border US+Canada",17,0.582,0.0906,0.3857,0.7398
2004,3,"Total USA",18,0.6424,0.1048,0.4514,0.8739
2004,3,"Total Canada",19,0.3575,0.1048,0.126,0.5485
2004,4,"Total Summer",2,0.1338,0.0903,0.007,0.3495
2004,4,"Lower Summer",4,0.0872,0.0905,0,0.3262
2004,4,"Tanana Summer",8,0.0465,0.0573,0,0.1878
2004,4,"Total Fall",9,0.8661,0.0903,0.6504,0.9929
2004,4,"Tanana Fall",10,0.3229,0.0836,0.1663,0.4918
2004,4,"Border US",11,0.3309,0.1023,0.1177,0.5221
2004,4,"Border CA",12,0.0216,0.0432,0,0.1541
2004,4,"Porcupine CA",13,0.0037,0.0131,0,0.0434
2004,4,"Mainstem CA",14,0.0178,0.0403,0,0.1438
2004,4,"Upper Canada",1,0.1906,0.0477,0.1044,0.2912
2004,4,"White UC",3,0.1884,0.0472,0.1031,0.2881
2004,4,"Teslin UC",6,0.0022,0.0081,0,0.0258
2004,4,"Fall US",15,0.6538,0.1086,0.404,0.8266
2004,4,"Mainstem+Upper CA",16,0.2085,0.0616,0.1101,0.3524
2004,4,"Border US+Canada",17,0.5432,0.0972,0.3467,0.726
2004,4,"Total USA",18,0.7877,0.0632,0.6403,0.8878
2004,4,"Total Canada",19,0.2122,0.0632,0.1121,0.3596
2004,5,"Total Summer",2,0.0994,0.0911,0,0.3204
2004,5,"Lower Summer",4,0.082,0.0908,0,0.3082
2004,5,"Tanana Summer",8,0.0173,0.034,0,0.1216
2004,5,"Total Fall",9,0.9005,0.0911,0.6795,0.9999
2004,5,"Tanana Fall",10,0.4237,0.0731,0.2796,0.5654
2004,5,"Border US",11,0.1527,0.0985,0,0.3642
2004,5,"Border CA",12,0.1332,0.0708,0,0.2789
2004,5,"Porcupine CA",13,0.1089,0.0692,0,0.2469
2004,5,"Mainstem CA",14,0.0242,0.054,0,0.1964
2004,5,"Upper Canada",1,0.1908,0.0414,0.1143,0.2763
2004,5,"White UC",3,0.1889,0.0409,0.1132,0.2735
2004,5,"Teslin UC",6,0.0018,0.007,0,0.0218
2004,5,"Fall US",15,0.5765,0.113,0.3411,0.7729
2004,5,"Mainstem+Upper CA",16,0.215,0.0689,0.1184,0.403
2004,5,"Border US+Canada",17,0.4768,0.0857,0.3054,0.6409
2004,5,"Total USA",18,0.6759,0.0738,0.5257,0.8188
2004,5,"Total Canada",19,0.324,0.0738,0.1811,0.4742
2004,6,"Total Summer",2,0.0289,0.0436,0,0.16
2004,6,"Lower Summer",4,0.0245,0.0426,0,0.1557
2004,6,"Tanana Summer",8,0.0044,0.0126,0,0.0428
2004,6,"Total Fall",9,0.971,0.0436,0.8399,0.9999
2004,6,"Tanana Fall",10,0.5783,0.0701,0.438,0.7119
